fold,baseline_accuracy,baseline_f1,baseline_mcc,solution_accuracy,solution_f1,solution_mcc
1,0.798469387755102,0.7979148970996798,0.7322641157811727,0.798469387755102,0.7979040810481508,0.7312895362716637
2,0.8112244897959183,0.8115874198661084,0.7488756072785367,0.7933673469387755,0.7949087970502063,0.7250192688104492
3,0.8163265306122449,0.8155745611447651,0.7561011413592666,0.7959183673469388,0.7961601990697791,0.7285554070055271
4,0.8188775510204082,0.8167875868174517,0.7610744444388441,0.798469387755102,0.7969830524583932,0.7321773136464227
5,0.798469387755102,0.7971124949654553,0.7327073185497021,0.8469387755102041,0.8458687270412575,0.7961610260636838
6,0.8290816326530612,0.8282818418965012,0.7734686630908865,0.8239795918367347,0.823872264311299,0.7659045186520249
7,0.7933673469387755,0.7909349216912784,0.7273383190875246,0.8214285714285714,0.8204718042787273,0.7624666061768358
8,0.8035714285714286,0.80310250349935,0.7383619970022217,0.7806122448979592,0.7814150397963886,0.7080172968959626
9,0.7979539641943734,0.7960797446105108,0.732756586203506,0.8005115089514067,0.7995959782388975,0.7346407228093431
10,0.8005115089514067,0.8006202017672128,0.7348618760105369,0.8235294117647058,0.8232690526362123,0.766143124142586
