fold,baseline_accuracy,baseline_f1,baseline_mcc,solution_accuracy,solution_f1,solution_mcc
1,0.9833333333333333,0.9832877075238432,0.9778212374652352,1.0,1.0,1.0
2,0.96,0.9597144873642569,0.946933248364468,1.0,1.0,1.0
3,0.9833333333333333,0.9833238451046671,0.9780096297646224,1.0,1.0,1.0
4,0.9866666666666667,0.9866634301099363,0.9823240981521676,1.0,1.0,1.0
5,0.9733333333333334,0.9732817142193231,0.9645444764661555,1.0,1.0,1.0
6,0.9766666666666667,0.9765681745547516,0.9690755436361478,1.0,1.0,1.0
7,0.9766666666666667,0.9764501263300238,0.9691617283730236,1.0,1.0,1.0
8,0.9766666666666667,0.9766146016146016,0.9690611817485932,1.0,1.0,1.0
9,0.9866666666666667,0.9866633826761795,0.9823240981521676,1.0,1.0,1.0
10,0.99,0.9899991050653303,0.9867105214421918,1.0,1.0,1.0
